# Noise model: E = 2rand(n,n) - 1; G = (1-γ)*U + γ*E

# dsyevr results
   n     γ  method     k   fgs        rp        rd     time
 500  0.01    IAPG     1     1  3.55e-15  9.81e-02  0:00:00
 500  0.01      IR     1     1  3.33e-15  9.81e-02  0:00:00
 500  0.05    IAPG   123   133  4.52e-15  9.99e-02  0:00:13
 500  0.05      IR   126   220  3.89e-15  9.89e-02  0:00:22
 500  0.10    IAPG   261   410  4.20e-15  9.94e-02  0:00:35
 500  0.10      IR   265   513  4.31e-15  9.97e-02  0:00:42

1000  0.01    IAPG    63    63  5.18e-15  9.78e-02  0:00:34
1000  0.01      IR    64   106  5.61e-15  9.79e-02  0:00:59
1000  0.05    IAPG   303   370  6.40e-15  9.99e-02  0:02:39
1000  0.05      IR   311   574  5.64e-15  9.98e-02  0:04:02
1000  0.10    IAPG   837  2241  5.73e-15  9.99e-02  0:11:40
1000  0.10      IR   868  1590  5.46e-15  9.99e-02  0:08:33

1500  0.01    IAPG   108   108  6.07e-15  9.95e-02  0:03:05
1500  0.01      IR   108   184  7.05e-15  9.97e-02  0:05:20
1500  0.05    IAPG   542   788  7.61e-15  1.00e-01  0:15:40
1500  0.05      IR   555  1003  7.17e-15  1.00e-01  0:19:01
1500  0.10    IAPG  1150  3186  5.73e-15  1.00e-01  0:45:21
1500  0.10      IR  1192  2143  6.16e-15  9.99e-02  0:31:16

# dsyevd results
   n     γ  method     k   fgs        rp        rd     time
 500  0.01    IAPG     1     1  3.44e-15  9.81e-02  0:00:00
 500  0.01      IR     1     1  3.58e-15  9.81e-02  0:00:00
 500  0.05    IAPG   123   133  4.47e-15  9.99e-02  0:00:05
 500  0.05      IR   126   220  3.93e-15  9.89e-02  0:00:09
 500  0.10    IAPG   261   410  4.27e-15  9.94e-02  0:00:16
 500  0.10      IR   265   513  4.25e-15  9.97e-02  0:00:21

1000  0.01    IAPG    63    63  5.11e-15  9.78e-02  0:00:15
1000  0.01      IR    64   106  5.40e-15  9.79e-02  0:00:26
1000  0.05    IAPG   303   370  6.42e-15  9.99e-02  0:01:29
1000  0.05      IR   311   574  5.34e-15  9.98e-02  0:02:24
1000  0.10    IAPG   837  2241  5.56e-15  9.99e-02  0:08:53
1000  0.10      IR   868  1590  5.60e-15  9.99e-02  0:06:29

1500  0.01    IAPG   108   108  6.22e-15  9.95e-02  0:01:27
1500  0.01      IR   108   184  6.97e-15  9.97e-02  0:02:32
1500  0.05    IAPG   542   788  7.70e-15  1.00e-01  0:10:26
1500  0.05      IR   555  1003  7.23e-15  1.00e-01  0:13:35
1500  0.10    IAPG  1150  3186  5.85e-15  1.00e-01  0:40:58
1500  0.10      IR  1193  2152  6.55e-15  9.99e-02  0:28:30

