   n      γ   method      k    fgs         rp         rd       time
 100   0.05     IAPG    164    164   1.55e-15   9.96e-02   00:00:00
 100   0.05       IR    166    298   1.71e-15   9.89e-02   00:00:00
 100   0.10     IAPG    196    196   1.57e-15   9.90e-02   00:00:00
 100   0.10       IR    197    338   1.58e-15   9.94e-02   00:00:01
 100   0.15     IAPG    242    252   1.83e-15   9.99e-02   00:00:01
 100   0.15       IR    238    418   1.63e-15   9.95e-02   00:00:01
 100   0.20     IAPG    342    377   1.74e-15   9.97e-02   00:00:01
 100   0.20       IR    309    545   1.71e-15   1.00e-01   00:00:01
 100   0.25     IAPG    411    550   1.74e-15   9.99e-02   00:00:01
 100   0.25       IR    393    705   1.77e-15   9.99e-02   00:00:01
 100   0.30     IAPG    574   1069   1.71e-15   9.98e-02   00:00:02
 100   0.30       IR    573   1043   1.55e-15   9.93e-02   00:00:02
 100   0.35     IAPG   1208   3690   1.64e-15   9.99e-02   00:00:06
 100   0.35       IR   1275   2409   1.77e-15   1.00e-01   00:00:04
 100   0.40     IAPG   1450   5404   1.74e-15   1.00e-01   00:00:08
 100   0.40       IR   1487   2837   1.67e-15   9.99e-02   00:00:04
 100   0.45     IAPG   1279   4075   1.63e-15   9.99e-02   00:00:07
 100   0.45       IR   1306   2440   1.60e-15   9.95e-02   00:00:04
 100   0.50     IAPG   1246   3812   1.49e-15   9.99e-02   00:00:06
 100   0.50       IR   1232   2274   1.73e-15   9.99e-02   00:00:03
 200   0.05     IAPG    360    360   2.34e-15   9.97e-02   00:00:03
 200   0.05       IR    360    553   2.21e-15   1.00e-01   00:00:03
 200   0.10     IAPG    505    525   2.20e-15   9.99e-02   00:00:04
 200   0.10       IR    491    778   2.46e-15   9.96e-02   00:00:06
 200   0.15     IAPG    690    818   2.21e-15   9.99e-02   00:00:06
 200   0.15       IR    650   1141   2.41e-15   9.99e-02   00:00:07
 200   0.20     IAPG    994   1943   2.08e-15   9.99e-02   00:00:12
 200   0.20       IR    990   1801   2.32e-15   9.98e-02   00:00:10
 200   0.25     IAPG   2600  12607   2.11e-15   9.99e-02   00:01:05
 200   0.25       IR   2674   5046   2.28e-15   9.99e-02   00:00:27
 200   0.30     IAPG   2296   7246   2.37e-15   9.99e-02   00:00:39
 200   0.30       IR   2354   4170   2.39e-15   9.99e-02   00:00:22
 200   0.35     IAPG   2227   6710   2.22e-15   1.00e-01   00:00:35
 200   0.35       IR   2282   4025   2.30e-15   1.00e-01   00:00:22
 200   0.40     IAPG   2185   6506   2.13e-15   1.00e-01   00:00:34
 200   0.40       IR   2210   3974   2.41e-15   1.00e-01   00:00:21
 200   0.45     IAPG   2149   6385   2.19e-15   9.99e-02   00:00:31
 200   0.45       IR   2190   4026   2.39e-15   9.99e-02   00:00:21
 200   0.50     IAPG   2109   6194   2.14e-15   1.00e-01   00:00:31
 200   0.50       IR   2150   3992   2.46e-15   9.99e-02   00:00:21
 300   0.05     IAPG    534    534   2.75e-15   9.97e-02   00:00:07
 300   0.05       IR    534    809   2.75e-15   9.98e-02   00:00:11
 300   0.10     IAPG    837    878   2.64e-15   9.98e-02   00:00:12
 300   0.10       IR    800   1237   2.61e-15   9.99e-02   00:00:16
 300   0.15     IAPG   1180   1713   2.62e-15   9.98e-02   00:00:21
 300   0.15       IR   1171   2134   3.19e-15   1.00e-01   00:00:27
 300   0.20     IAPG   3402  14685   2.68e-15   1.00e-01   00:02:51
 300   0.20       IR   3508   6568   2.69e-15   1.00e-01   00:01:22
 300   0.25     IAPG   3157   9743   2.71e-15   1.00e-01   00:01:52
 300   0.25       IR   3215   5518   2.74e-15   9.97e-02   00:01:10
 300   0.30     IAPG   3079   9153   2.68e-15   9.99e-02   00:01:47
 300   0.30       IR   3137   5705   2.81e-15   9.93e-02   00:01:12
 300   0.35     IAPG   3022   8934   2.54e-15   1.00e-01   00:01:41
 300   0.35       IR   3075   5779   2.70e-15   9.99e-02   00:01:12
 300   0.40     IAPG   2972   8763   2.72e-15   9.99e-02   00:01:39
 300   0.40       IR   3033   5713   2.87e-15   1.00e-01   00:01:11
 300   0.45     IAPG   2929   8620   2.65e-15   1.00e-01   00:01:36
 300   0.45       IR   2981   5733   2.91e-15   9.99e-02   00:01:11
 300   0.50     IAPG   2888   8468   2.75e-15   1.00e-01   00:01:35
 300   0.50       IR   2990   5841   2.91e-15   1.00e-01   00:01:11
 400   0.05     IAPG    693    693   3.06e-15   9.97e-02   00:00:17
 400   0.05       IR    696   1002   3.46e-15   9.98e-02   00:00:24
 400   0.10     IAPG   1156   1229   3.33e-15   9.98e-02   00:00:29
 400   0.10       IR   1139   1945   3.00e-15   9.99e-02   00:00:47
 400   0.15     IAPG   1810   3631   3.36e-15   9.99e-02   00:01:22
 400   0.15       IR   1813   3271   3.75e-15   9.99e-02   00:01:18
 400   0.20     IAPG   4069  13806   3.23e-15   1.00e-01   00:05:03
 400   0.20       IR   4174   7359   3.24e-15   1.00e-01   00:02:51
 400   0.25     IAPG   3951  11875   3.18e-15   1.00e-01   00:04:32
 400   0.25       IR   4049   7501   3.15e-15   1.00e-01   00:03:20
 400   0.30     IAPG   3854  11456   3.26e-15   1.00e-01   00:04:07
 400   0.30       IR   3936   7355   3.18e-15   1.00e-01   00:02:41
 400   0.35     IAPG   3795  11194   3.10e-15   1.00e-01   00:03:51
 400   0.35       IR   3872   7539   3.47e-15   1.00e-01   00:02:45
 400   0.40     IAPG   3752  11043   3.15e-15   1.00e-01   00:03:48
 400   0.40       IR   3820   7433   3.33e-15   1.00e-01   00:02:43
 400   0.45     IAPG   3739  11014   3.09e-15   1.00e-01   00:03:50
 400   0.45       IR   3826   7459   3.24e-15   1.00e-01   00:02:45
 400   0.50     IAPG   3719  11001   3.12e-15   9.99e-02   00:03:48
 400   0.50       IR   3812   7342   3.35e-15   1.00e-01   00:02:43
 500   0.05     IAPG    941    953   3.71e-15   1.00e-01   00:00:37
 500   0.05       IR    924   1283   3.37e-15   1.00e-01   00:00:51
 500   0.10     IAPG   1611   1800   3.50e-15   1.00e-01   00:01:08
 500   0.10       IR   1562   2574   3.75e-15   9.99e-02   00:01:42
 500   0.15     IAPG   5077  24709   3.45e-15   1.00e-01   00:14:53
 500   0.15       IR   5222   9784   3.37e-15   1.00e-01   00:06:18
 500   0.20     IAPG   4824  14659   3.43e-15   1.00e-01   00:09:22
 500   0.20       IR   4922   8082   3.41e-15   9.99e-02   00:05:10
 500   0.25     IAPG   4702  14100   3.48e-15   1.00e-01   00:08:14
 500   0.25       IR   4802   9244   3.61e-15   1.00e-01   00:05:41
 500   0.30     IAPG   4606  13671   3.42e-15   1.00e-01   00:07:56
 500   0.30       IR   4702   9113   3.34e-15   1.00e-01   00:05:35
 500   0.35     IAPG   4552  13419   3.61e-15   1.00e-01   00:07:46
 500   0.35       IR   4651   9046   3.73e-15   1.00e-01   00:05:34
 500   0.40     IAPG   4536  13373   3.46e-15   1.00e-01   00:07:43
 500   0.40       IR   4645   9189   3.65e-15   1.00e-01   00:05:39
 500   0.45     IAPG   4527  13376   3.52e-15   1.00e-01   00:07:44
 500   0.45       IR   4652   9089   3.65e-15   1.00e-01   00:05:34
 500   0.50     IAPG   4490  13237   3.32e-15   1.00e-01   00:07:41
 500   0.50       IR   4633   9024   3.54e-15   1.00e-01   00:05:33
 600   0.05     IAPG   1141   1157   3.12e-15   9.99e-02   00:01:10
 600   0.05       IR   1119   1477   3.75e-15   1.00e-01   00:01:36
 600   0.10     IAPG   1958   2295   3.79e-15   1.00e-01   00:02:20
 600   0.10       IR   1949   3029   3.98e-15   9.99e-02   00:03:20
 600   0.15     IAPG   5750  21174   3.67e-15   1.00e-01   00:20:04
 600   0.15       IR   5919  11045   3.77e-15   1.00e-01   00:11:18
 600   0.20     IAPG   5582  16705   3.85e-15   1.00e-01   00:15:46
 600   0.20       IR   5709  10933   3.77e-15   1.00e-01   00:11:13
 600   0.25     IAPG   5463  16196   3.57e-15   1.00e-01   00:14:48
 600   0.25       IR   5568  10520   3.84e-15   1.00e-01   00:10:17
 600   0.30     IAPG   5368  15855   3.77e-15   1.00e-01   00:14:28
 600   0.30       IR   5489  10541   3.59e-15   1.00e-01   00:10:17
 600   0.35     IAPG   5325  15801   3.73e-15   1.00e-01   00:14:48
 600   0.35       IR   5449  10777   3.82e-15   1.00e-01   00:11:04
 600   0.40     IAPG   5299  15601   3.90e-15   1.00e-01   00:14:33
 600   0.40       IR   5454  10562   3.88e-15   1.00e-01   00:10:41
 600   0.45     IAPG   5288  15644   3.98e-15   1.00e-01   00:14:55
 600   0.45       IR   5439  10621   3.83e-15   1.00e-01   00:11:09
 600   0.50     IAPG   5263  15518   3.97e-15   1.00e-01   00:14:39
 600   0.50       IR   5442  10261   4.02e-15   1.00e-01   00:10:41


