   n      γ   method      k    fgs         rp         rd       time
 100   0.05     IAPG    164    164   1.55e-15   9.96e-02   00:00:00
 100   0.05       IR    166    298   1.71e-15   9.89e-02   00:00:00
 100   0.10     IAPG    196    196   1.57e-15   9.90e-02   00:00:00
 100   0.10       IR    197    338   1.58e-15   9.94e-02   00:00:01
 100   0.15     IAPG    235    235   1.57e-15   9.99e-02   00:00:01
 100   0.15       IR    238    418   1.63e-15   9.95e-02   00:00:01
 100   0.20     IAPG    298    298   1.62e-15   9.98e-02   00:00:01
 100   0.20       IR    309    545   1.71e-15   1.00e-01   00:00:01
 200   0.05     IAPG    360    360   2.34e-15   9.97e-02   00:00:02
 200   0.05       IR    360    553   2.21e-15   1.00e-01   00:00:03
 200   0.10     IAPG    497    497   2.25e-15   9.99e-02   00:00:03
 200   0.10       IR    491    778   2.46e-15   9.96e-02   00:00:04
 200   0.15     IAPG    801    810   2.67e-15   9.99e-02   00:00:05
 200   0.15       IR    650   1141   2.41e-15   9.99e-02   00:00:06
 200   0.20     IAPG   1067   1103   2.30e-15   9.99e-02   00:00:06
 200   0.20       IR    990   1801   2.32e-15   9.98e-02   00:00:10
 300   0.05     IAPG    534    534   2.75e-15   9.97e-02   00:00:07
 300   0.05       IR    534    809   2.75e-15   9.98e-02   00:00:11
 300   0.10     IAPG    792    792   2.72e-15   1.00e-01   00:00:10
 300   0.10       IR    800   1237   2.61e-15   9.99e-02   00:00:16
 300   0.15     IAPG   1263   1285   3.29e-15   1.00e-01   00:00:16
 300   0.15       IR   1171   2134   3.19e-15   1.00e-01   00:00:27
 300   0.20     IAPG   3436   3978   2.80e-15   1.00e-01   00:00:48
 300   0.20       IR   3508   6568   2.69e-15   1.00e-01   00:01:25
 400   0.05     IAPG    693    693   3.06e-15   9.97e-02   00:00:16
 400   0.05       IR    696   1002   3.46e-15   9.98e-02   00:00:24
 400   0.10     IAPG   1144   1144   2.96e-15   9.98e-02   00:00:27
 400   0.10       IR   1139   1945   3.00e-15   9.99e-02   00:00:46
 400   0.15     IAPG   1896   1951   3.86e-15   1.00e-01   00:00:45
 400   0.15       IR   1813   3271   3.75e-15   9.99e-02   00:01:18
 400   0.20     IAPG   4124   4935   3.26e-15   1.00e-01   00:01:49
 400   0.20       IR   4174   7359   3.24e-15   1.00e-01   00:02:49
 500   0.05     IAPG    922    922   3.40e-15   9.99e-02   00:00:37
 500   0.05       IR    924   1283   3.37e-15   1.00e-01   00:00:54
 500   0.10     IAPG   1698   1709   3.50e-15   9.99e-02   00:01:07
 500   0.10       IR   1562   2574   3.75e-15   9.99e-02   00:01:45
 500   0.15     IAPG   5122   5701   3.37e-15   1.00e-01   00:03:32
 500   0.15       IR   5222   9784   3.37e-15   1.00e-01   00:06:21
 500   0.20     IAPG   4865   5686   3.54e-15   1.00e-01   00:03:33
 500   0.20       IR   4922   8082   3.41e-15   9.99e-02   00:05:17
 600   0.05     IAPG   1120   1120   3.56e-15   1.00e-01   00:01:12
 600   0.05       IR   1119   1477   3.75e-15   1.00e-01   00:01:40
 600   0.10     IAPG   2030   2045   4.28e-15   9.99e-02   00:02:07
 600   0.10       IR   1949   3029   3.98e-15   9.99e-02   00:03:17
 600   0.15     IAPG   5812   6717   3.75e-15   1.00e-01   00:06:34
 600   0.15       IR   5919  11045   3.77e-15   1.00e-01   00:11:14
 600   0.20     IAPG   5588   6393   3.65e-15   1.00e-01   00:06:04
 600   0.20       IR   5709  10933   3.77e-15   1.00e-01   00:10:59
 700   0.05     IAPG   1339   1339   3.88e-15   9.99e-02   00:02:03
 700   0.05       IR   1337   1888   3.91e-15   9.99e-02   00:02:57
 700   0.10     IAPG   2580   2606   5.56e-15   1.00e-01   00:03:51
 700   0.10       IR   2427   4022   4.71e-15   1.00e-01   00:06:10
 700   0.15     IAPG   6452   7494   4.09e-15   1.00e-01   00:10:37
 700   0.15       IR   6555  10959   4.39e-15   1.00e-01   00:16:11
 700   0.20     IAPG   6247   7044   3.90e-15   1.00e-01   00:09:39
 700   0.20       IR   6410  11958   4.14e-15   1.00e-01   00:17:02
 800   0.05     IAPG   1551   1551   4.06e-15   9.99e-02   00:03:17
 800   0.05       IR   1557   2067   4.40e-15   9.99e-02   00:04:33
 800   0.10     IAPG   3070   3113   4.57e-15   1.00e-01   00:06:32
 800   0.10       IR   2958   5382   5.17e-15   1.00e-01   00:11:42
 800   0.15     IAPG   7155   8193   4.25e-15   1.00e-01   00:16:36
 800   0.15       IR   7309  11875   4.32e-15   1.00e-01   00:24:59
 800   0.20     IAPG   6932   7727   4.17e-15   1.00e-01   00:15:05
 800   0.20       IR   7140  13602   4.32e-15   1.00e-01   00:27:30
 900   0.05     IAPG   1802   1802   4.33e-15   1.00e-01   00:05:22
 900   0.05       IR   1803   2259   4.59e-15   9.99e-02   00:06:59
 900   0.10     IAPG   3682   3760   4.57e-15   9.99e-02   00:11:07
 900   0.10       IR   3597   6763   4.26e-15   1.00e-01   00:20:35
 900   0.15     IAPG   7832   8881   4.61e-15   1.00e-01   00:25:40
 900   0.15       IR   8026  14481   4.59e-15   9.98e-02   00:43:10
 900   0.20     IAPG   7597   8412   4.60e-15   1.00e-01   00:23:47
 900   0.20       IR   7846  14776   4.49e-15   1.00e-01   00:43:18
1000   0.05     IAPG   2109   2109   4.12e-15   1.00e-01   00:08:32
1000   0.05       IR   2100   3123   4.62e-15   1.00e-01   00:13:05
1000   0.10     IAPG   4438   4594   4.77e-15   1.00e-01   00:18:04
1000   0.10       IR   4426   7896   5.12e-15   1.00e-01   00:32:30
1000   0.15     IAPG   8520   9606   4.75e-15   1.00e-01   00:38:00
1000   0.15       IR   8759  16425   4.83e-15   1.00e-01   01:08:48
1000   0.20     IAPG   8282   9106   4.79e-15   1.00e-01   00:36:44
1000   0.20       IR   8511  16154   4.76e-15   1.00e-01   01:11:36
