   n      γ   method      k    fgs         rp         rd       time
 100   0.10     IAPG     28     28   1.54e-15   9.80e-02   00:00:00
 100   0.10       IR     27     45   1.75e-15   9.99e-02   00:00:00
 100   0.20     IAPG     57     63   1.56e-15   9.89e-02   00:00:00
 100   0.20       IR     56    102   1.56e-15   9.79e-02   00:00:00
 100   0.30     IAPG     88    105   1.65e-15   9.94e-02   00:00:00
 100   0.30       IR     88    169   1.71e-15   9.95e-02   00:00:00
 100   0.40     IAPG    126    194   1.67e-15   9.87e-02   00:00:01
 100   0.40       IR    131    261   1.62e-15   9.80e-02   00:00:01
 100   0.50     IAPG    125    232   1.72e-15   9.83e-02   00:00:01
 100   0.50       IR    130    269   1.57e-15   9.89e-02   00:00:00
 100   0.60     IAPG    135    275   1.71e-15   9.73e-02   00:00:01
 100   0.60       IR    141    296   1.48e-15   9.73e-02   00:00:00
 100   0.70     IAPG    138    283   1.58e-15   9.78e-02   00:00:01
 100   0.70       IR    143    300   1.42e-15   9.96e-02   00:00:01
 100   0.80     IAPG    138    297   1.59e-15   9.85e-02   00:00:01
 100   0.80       IR    144    304   1.61e-15   9.94e-02   00:00:00
 100   0.90     IAPG    140    306   1.69e-15   9.95e-02   00:00:01
 100   0.90       IR    147    310   1.49e-15   9.95e-02   00:00:01
 100   1.00     IAPG    140    312   1.72e-15   9.95e-02   00:00:01
 100   1.00       IR    148    320   1.65e-15   9.98e-02   00:00:00
 200   0.10     IAPG     76     76   2.15e-15   9.97e-02   00:00:01
 200   0.10       IR     73    129   2.29e-15   9.98e-02   00:00:01
 200   0.20     IAPG    167    202   2.78e-15   9.95e-02   00:00:01
 200   0.20       IR    170    333   2.25e-15   9.97e-02   00:00:02
 200   0.30     IAPG    234    423   2.43e-15   9.85e-02   00:00:02
 200   0.30       IR    242    462   2.51e-15   9.90e-02   00:00:03
 200   0.40     IAPG    234    461   2.52e-15   9.98e-02   00:00:03
 200   0.40       IR    248    475   2.28e-15   9.87e-02   00:00:03
 200   0.50     IAPG    240    484   2.42e-15   9.93e-02   00:00:03
 200   0.50       IR    252    478   2.35e-15   9.99e-02   00:00:03
 200   0.60     IAPG    240    479   2.34e-15   9.99e-02   00:00:03
 200   0.60       IR    251    477   2.36e-15   9.99e-02   00:00:03
 200   0.70     IAPG    244    486   2.26e-15   9.99e-02   00:00:03
 200   0.70       IR    260    498   2.56e-15   9.98e-02   00:00:03
 200   0.80     IAPG    252    485   2.60e-15   9.94e-02   00:00:03
 200   0.80       IR    266    505   2.49e-15   9.97e-02   00:00:03
 200   0.90     IAPG    252    500   2.48e-15   9.94e-02   00:00:04
 200   0.90       IR    271    512   2.40e-15   9.97e-02   00:00:03
 200   1.00     IAPG    256    504   2.45e-15   9.96e-02   00:00:03
 200   1.00       IR    273    520   2.31e-15   9.92e-02   00:00:04
 300   0.10     IAPG    126    137   2.83e-15   9.92e-02   00:00:02
 300   0.10       IR    124    241   2.98e-15   9.98e-02   00:00:04
 300   0.20     IAPG    313    485   3.01e-15   9.99e-02   00:00:06
 300   0.20       IR    330    620   3.11e-15   9.97e-02   00:00:08
 300   0.30     IAPG    319    567   3.03e-15   9.95e-02   00:00:07
 300   0.30       IR    332    621   2.86e-15   9.96e-02   00:00:08
 300   0.40     IAPG    330    612   3.00e-15   9.97e-02   00:00:07
 300   0.40       IR    347    662   3.08e-15   9.94e-02   00:00:08
 300   0.50     IAPG    335    643   3.16e-15   9.95e-02   00:00:08
 300   0.50       IR    355    640   2.92e-15   9.94e-02   00:00:08
 300   0.60     IAPG    347    657   2.96e-15   9.95e-02   00:00:08
 300   0.60       IR    366    644   3.05e-15   9.97e-02   00:00:08
 300   0.70     IAPG    352    665   3.04e-15   9.94e-02   00:00:08
 300   0.70       IR    371    648   2.81e-15   9.98e-02   00:00:08
 300   0.80     IAPG    355    674   2.91e-15   9.98e-02   00:00:08
 300   0.80       IR    376    685   3.18e-15   9.95e-02   00:00:09
 300   0.90     IAPG    357    672   3.16e-15   9.97e-02   00:00:08
 300   0.90       IR    380    703   2.98e-15   9.97e-02   00:00:09
 300   1.00     IAPG    362    659   3.11e-15   9.99e-02   00:00:08
 300   1.00       IR    388    734   2.83e-15   9.97e-02   00:00:09
 400   0.10     IAPG    182    199   3.51e-15   9.93e-02   00:00:05
 400   0.10       IR    182    333   3.70e-15   9.98e-02   00:00:08
 400   0.20     IAPG    399    675   3.64e-15   9.91e-02   00:00:15
 400   0.20       IR    413    783   3.48e-15   9.97e-02   00:00:18
 400   0.30     IAPG    412    745   3.67e-15   9.98e-02   00:00:17
 400   0.30       IR    431    778   3.66e-15   9.96e-02   00:00:18
 400   0.40     IAPG    427    801   3.65e-15   9.98e-02   00:00:18
 400   0.40       IR    450    803   3.44e-15   9.99e-02   00:00:18
 400   0.50     IAPG    442    814   3.54e-15   9.98e-02   00:00:18
 400   0.50       IR    467    806   3.49e-15   9.97e-02   00:00:19
 400   0.60     IAPG    452    821   3.49e-15   9.96e-02   00:00:19
 400   0.60       IR    479    881   3.76e-15   9.96e-02   00:00:21
