# Noise model: E = 2rand(n,n) - 1; G = (1-γ)*U + γ*E

# dsyevr results
   n      γ   method      k    fgs         rp         rd       fval       time
 500   0.01     IAPG      1      1   3.55e-15   9.81e-02   1.10e-02   00:00:00
 500   0.01       IR      1      1   3.33e-15   9.81e-02   1.10e-02   00:00:00
 500   0.05     IAPG    123    133   4.52e-15   9.99e-02   8.60e-02   00:00:13
 500   0.05       IR    126    220   3.89e-15   9.89e-02   8.65e-02   00:00:22
 500   0.10     IAPG    261    410   4.20e-15   9.94e-02   3.52e-01   00:00:35
 500   0.10       IR    265    513   4.31e-15   9.97e-02   3.63e-01   00:00:42
 500   0.50     IAPG    533   1568   3.83e-15   9.97e-02   6.48e+02   00:01:00
 500   0.50       IR    573   1072   3.74e-15   9.97e-02   6.48e+02   00:00:43
1000   0.01     IAPG     63     63   5.18e-15   9.78e-02   2.17e-02   00:00:34
1000   0.01       IR     64    106   5.61e-15   9.79e-02   2.20e-02   00:00:59
1000   0.05     IAPG    303    370   6.40e-15   9.99e-02   1.92e-01   00:02:39
1000   0.05       IR    311    574   5.64e-15   9.98e-02   1.93e-01   00:04:02
1000   0.10     IAPG    837   2241   5.73e-15   9.99e-02   5.15e+00   00:11:40
1000   0.10       IR    868   1590   5.46e-15   9.99e-02   5.14e+00   00:08:33
1000   0.50     IAPG   1008   2986   5.13e-15   9.99e-02   3.45e+03   00:08:48
1000   0.50       IR   1093   2005   5.60e-15   9.99e-02   3.45e+03   00:06:07
1500   0.01     IAPG    108    108   6.07e-15   9.95e-02   3.49e-02   00:03:05
1500   0.01       IR    108    184   7.05e-15   9.97e-02   3.63e-02   00:05:20
1500   0.05     IAPG    542    788   7.61e-15   1.00e-01   3.42e-01   00:15:40
1500   0.05       IR    555   1003   7.17e-15   1.00e-01   3.46e-01   00:19:01
1500   0.10     IAPG   1150   3186   5.73e-15   1.00e-01   3.01e+01   00:45:21
1500   0.10       IR   1192   2143   6.16e-15   9.99e-02   3.01e+01   00:31:16
1500   0.50     IAPG   1471   4387   6.16e-15   1.00e-01   8.90e+03   00:40:30
1500   0.50       IR   1605   2989   6.79e-15   9.99e-02   8.90e+03   00:28:20
2000   0.01     IAPG    162    162   7.00e-15   9.97e-02   4.44e-02   00:10:22
2000   0.01       IR    163    285   8.10e-15   9.99e-02   4.54e-02   00:18:15
2000   0.05     IAPG    973   2112   7.57e-15   9.99e-02   5.81e-01   01:21:32
2000   0.05       IR    992   1820   8.45e-15   9.99e-02   5.89e-01   01:07:01
2000   0.10     IAPG   1499   4227   6.46e-15   9.99e-02   8.61e+01   02:00:56
2000   0.10       IR   1558   2811   8.02e-15   1.00e-01   8.61e+01   01:22:08
2000   0.50     IAPG   1910   5705   6.76e-15   1.00e-01   1.70e+04   01:57:19
2000   0.50       IR   2090   3829   7.44e-15   9.99e-02   1.70e+04   01:21:38

# dsyevd results
   n      γ   method      k    fgs         rp         rd       fval       time
 500   0.01     IAPG      1      1   3.44e-15   9.81e-02   1.10e-02   00:00:00
 500   0.01       IR      1      1   3.58e-15   9.81e-02   1.10e-02   00:00:00
 500   0.05     IAPG    123    133   4.47e-15   9.99e-02   8.60e-02   00:00:05
 500   0.05       IR    126    220   3.93e-15   9.89e-02   8.65e-02   00:00:09
 500   0.10     IAPG    261    410   4.27e-15   9.94e-02   3.52e-01   00:00:16
 500   0.10       IR    265    513   4.25e-15   9.97e-02   3.63e-01   00:00:21
 500   0.50     IAPG    533   1568   3.80e-15   9.97e-02   6.48e+02   00:00:56
 500   0.50       IR    573   1072   3.80e-15   9.97e-02   6.48e+02   00:00:40
1000   0.01     IAPG     63     63   5.11e-15   9.78e-02   2.17e-02   00:00:15
1000   0.01       IR     64    106   5.40e-15   9.79e-02   2.20e-02   00:00:26
1000   0.05     IAPG    303    370   6.42e-15   9.99e-02   1.92e-01   00:01:29
1000   0.05       IR    311    574   5.34e-15   9.98e-02   1.93e-01   00:02:24
1000   0.10     IAPG    837   2241   5.56e-15   9.99e-02   5.15e+00   00:08:53
1000   0.10       IR    868   1590   5.60e-15   9.99e-02   5.14e+00   00:06:29
1000   0.50     IAPG   1008   2986   4.98e-15   9.99e-02   3.45e+03   00:11:51
1000   0.50       IR   1093   2005   5.53e-15   9.99e-02   3.45e+03   00:08:29
1500   0.01     IAPG    108    108   6.22e-15   9.95e-02   3.49e-02   00:01:27
1500   0.01       IR    108    184   6.97e-15   9.97e-02   3.63e-02   00:02:32
1500   0.05     IAPG    542    788   7.70e-15   1.00e-01   3.42e-01   00:10:26
1500   0.05       IR    555   1003   7.23e-15   1.00e-01   3.46e-01   00:13:35
1500   0.10     IAPG   1150   3186   5.85e-15   1.00e-01   3.01e+01   00:40:58
1500   0.10       IR   1193   2152   6.55e-15   9.99e-02   3.01e+01   00:28:30
1500   0.50     IAPG   1471   4373   6.15e-15   1.00e-01   8.90e+03   00:57:26
1500   0.50       IR   1605   2989   6.87e-15   9.99e-02   8.90e+03   00:40:45
2000   0.01     IAPG    162    162   6.99e-15   9.97e-02   4.44e-02   00:05:06
2000   0.01       IR    163    285   8.04e-15   9.99e-02   4.54e-02   00:09:09
2000   0.05     IAPG    973   2112   7.51e-15   9.99e-02   5.81e-01   01:05:56
2000   0.05       IR    992   1820   8.31e-15   9.99e-02   5.89e-01   00:57:54
2000   0.10     IAPG   1499   4227   6.40e-15   9.99e-02   8.61e+01   02:02:50
2000   0.10       IR   1559   2806   6.08e-15   9.98e-02   8.61e+01   01:22:47
2000   0.50     IAPG   1910   5705   6.73e-15   1.00e-01   1.70e+04   02:47:30
2000   0.50       IR   2090   3847   7.63e-15   9.99e-02   1.70e+04   01:56:05

